TIMESTAMP: 2026-01-26T10:14:59.719Z | METHOD: GET | URL: /.env.staging | STATUS: 404 | DURATION: 4ms | IP: 47.128.218.139
TIMESTAMP: 2026-01-26T10:15:00.834Z | METHOD: GET | URL: /phpinfo | STATUS: 404 | DURATION: 9ms | IP: 47.128.218.139
TIMESTAMP: 2026-01-26T10:15:01.944Z | METHOD: GET | URL: /bootstrap/cache/config.php | STATUS: 404 | DURATION: 6ms | IP: 47.128.218.139
TIMESTAMP: 2026-01-26T10:15:03.051Z | METHOD: GET | URL: /.npmrc | STATUS: 404 | DURATION: 6ms | IP: 47.128.218.139
TIMESTAMP: 2026-01-26T10:15:03.857Z | METHOD: GET | URL: /config.ini | STATUS: 404 | DURATION: 5ms | IP: 47.128.218.139
TIMESTAMP: 2026-01-26T10:15:04.659Z | METHOD: GET | URL: /settings.py | STATUS: 404 | DURATION: 5ms | IP: 47.128.218.139
TIMESTAMP: 2026-01-26T10:15:05.774Z | METHOD: GET | URL: /.git/FETCH_HEAD | STATUS: 404 | DURATION: 4ms | IP: 47.128.218.139
TIMESTAMP: 2026-01-26T10:15:06.734Z | METHOD: GET | URL: /.git/refs/remotes/origin/master | STATUS: 404 | DURATION: 5ms | IP: 47.128.218.139
TIMESTAMP: 2026-01-26T10:15:07.703Z | METHOD: GET | URL: /.git/logs/refs/remotes/origin/master | STATUS: 404 | DURATION: 7ms | IP: 47.128.218.139
TIMESTAMP: 2026-01-26T10:15:08.496Z | METHOD: GET | URL: /.gitmodules | STATUS: 404 | DURATION: 5ms | IP: 47.128.218.139
TIMESTAMP: 2026-01-26T10:49:40.581Z | METHOD: GET | URL: / | STATUS: 200 | DURATION: 6ms | IP: 35.197.0.192
TIMESTAMP: 2026-01-26T10:52:56.992Z | METHOD: GET | URL: /geoserver/wfs?request=ListStoredQueries&service=wfs&version=2.0.0 | STATUS: 404 | DURATION: 7ms | IP: 204.76.203.8
TIMESTAMP: 2026-01-26T11:11:29.900Z | METHOD: POST | URL: / | STATUS: 404 | DURATION: 4ms | IP: 167.86.107.35
TIMESTAMP: 2026-01-26T11:25:27.898Z | METHOD: GET | URL: / | STATUS: 200 | DURATION: 9ms | IP: 147.185.132.119
TIMESTAMP: 2026-01-26T11:30:29.530Z | METHOD: POST | URL: / | STATUS: 404 | DURATION: 8ms | IP: 193.142.147.209
TIMESTAMP: 2026-01-26T11:46:28.533Z | METHOD: GET | URL: / | STATUS: 200 | DURATION: 4ms | IP: 66.132.153.142
TIMESTAMP: 2026-01-26T11:46:29.767Z | METHOD: GET | URL: /favicon.ico | STATUS: 404 | DURATION: 7ms | IP: 66.132.153.142
TIMESTAMP: 2026-01-26T11:46:50.301Z | METHOD: GET | URL: /wiki | STATUS: 404 | DURATION: 5ms | IP: 66.132.153.142
TIMESTAMP: 2026-01-26T11:50:21.554Z | METHOD: GET | URL: / | STATUS: 200 | DURATION: 6ms | IP: 71.6.232.30
TIMESTAMP: 2026-01-26T11:54:20.187Z | METHOD: GET | URL: /SDK/webLanguage | STATUS: 404 | DURATION: 10ms | IP: 5.61.209.92
TIMESTAMP: 2026-01-26T11:56:11.954Z | METHOD: GET | URL: / | STATUS: 200 | DURATION: 7ms | IP: 51.159.23.43
TIMESTAMP: 2026-01-26T11:59:43.808Z | METHOD: GET | URL: / | STATUS: 200 | DURATION: 6ms | IP: 43.164.197.177
TIMESTAMP: 2026-01-26T12:05:20.879Z | METHOD: GET | URL: / | STATUS: 200 | DURATION: 5ms | IP: 193.142.147.209
TIMESTAMP: 2026-01-26T12:09:48.654Z | METHOD: GET | URL: /cgi-bin/luci/;stok=/locale | STATUS: 404 | DURATION: 5ms | IP: 91.224.92.115
